UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
647256|C189|Lithops|gracilidelineata||waldroniae|||||||V. Nesuta|2021-11-07|13.09.2021||||
364402|C189A|Lithops|gracilidelineata||waldroniae|White Lady||||||V. Nesuta|2021-11-07|13.09.2021||||
042362|C090|Lithops|hallii|||||||||V. Nesuta||13.09.2021||||
771119||Lithops|hallii x jull|||||||||V. Nesuta||13.09.2021||||
399540|PV1039|Lithops|helmutii|||||||||V. Nesuta|2021-11-07|13.09.2021||||
779694|C397|Lithops|hermetica|||||||||V. Nesuta|2021-11-07|13.09.2021||||
820226||Kalanchoe|humilis|||||||||||11.04.2021||||Подарок от Н.Балыковой на ДР
114731|C235|Lithops|herrei|||||||||V. Nesuta|2021-11-07|13.09.2021||||
760494||Lithops|karas. x salicola|bella||Ironstone||||||V. Nesuta||13.09.2021||||
551661|C370A|Lithops|karasmontana|eberlanzii||Avocadocream||||||V. Nesuta|2021-11-07|13.09.2021||||
452524||Lithops|karas. x salicola|||||||||V. Nesuta||13.09.2021||||
183825|C015A|Lithops|lesliei||hornii|Greenhorn||||||V. Nesuta||13.09.2021||||
939750|058A|Lithops|marmorata||framesii|||||||V. Nesuta||13.09.2021||||
003329|CH1884|Lithops|naureeniae|||||||||V. Nesuta|2021-11-07|13.09.2021||||
357094||Lithops|otzeniana|||Cesky' Grana't||||||V. Nesuta|2021-11-07|13.09.2021||||
799794|C104|Lithops|pseudotruncatella||archerae|||||||V. Nesuta||13.09.2021||||
617797|CH1934|Lithops|pseudotruncatella|dendritica||||||||V. Nesuta|2021-11-07|13.09.2021||||Aub
037784|C101|Lithops|ruschiorum|||||||||V. Nesuta|2021-11-07|13.09.2021||||
885093||Lithops|salicola|||Maculata||||||V. Nesuta||13.09.2021||||
101930|C345A|Lithops|terricolor|||Specked Gold||||||V. Nesuta||13.09.2021||||
147695|C132B|Lithops|terricolor|||Steamy Windows||||||V. Nesuta||13.09.2021||||
419966||Lithops|verruculosa|||Rose of Texas||||||V. Nesuta|2021-11-07|13.09.2021||||
871470||Lithops|gesinae x gracil.|||Talisman||||||V. Nesuta|2021-11-07|13.09.2021||||
711480||Conophytum|burgeri|||||||||ZW|2021-11-07|12.11.2021||||Куплен за 22 юаня
006971||Lithops|julii|||Kikusiyo Giyoku||||||ZW|2021-11-07|12.11.2021||||Куплен за 36 юаней
691795||Lithops|julii|||Kikukaseki||||||ZW|2021-11-07|12.11.2021||||Куплен за 36 юаней
117030|F109R|Lithops|julii|julii||||||||ZW|2021-11-07|12.11.2021||||Куплен за 36 юаней
